::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:37 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:38 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:38 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [18/Apr/2020:01:22:38 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:39 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:40 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:40 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [18/Apr/2020:01:22:43 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:23:52 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1136
::1 - - [18/Apr/2020:01:23:52 -0300] "GET /root/css/materialize.css HTTP/1.1" 404 222
::1 - - [18/Apr/2020:01:23:52 -0300] "GET /root/js/jquery-3.4.1.js HTTP/1.1" 404 221
::1 - - [18/Apr/2020:01:23:52 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:23:52 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1136
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /root/css/materialize.css HTTP/1.1" 404 222
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /root/js/jquery-3.4.1.js HTTP/1.1" 404 221
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:23:55 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:23:56 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [18/Apr/2020:01:24:07 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1136
::1 - - [18/Apr/2020:01:24:07 -0300] "GET /root/css/materialize.css HTTP/1.1" 404 222
::1 - - [18/Apr/2020:01:24:08 -0300] "GET /root/js/jquery-3.4.1.js HTTP/1.1" 404 221
::1 - - [18/Apr/2020:01:24:08 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:24:08 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:24:08 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:24:32 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1145
::1 - - [18/Apr/2020:01:24:32 -0300] "GET /cliente/visao/.../root/css/materialize.css HTTP/1.1" 403 244
::1 - - [18/Apr/2020:01:24:32 -0300] "GET /cliente/visao/.../root/js/jquery-3.4.1.js HTTP/1.1" 403 243
::1 - - [18/Apr/2020:01:24:32 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:24:32 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:24:33 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1142
